app_id,game_name,player_count,timestamp,day_of_week,day_name,hour_of_day,date_only
271590,GTA V,55624,2025-09-17 20:47:18.713986+00,3,Wednesday,20,2025-09-17 00:00:00+00
440,Team Fortress 2,36442,2025-09-17 20:47:18.716302+00,3,Wednesday,20,2025-09-17 00:00:00+00
730,Counter-Strike 2,991869,2025-09-17 20:52:18.728776+00,3,Wednesday,20,2025-09-17 00:00:00+00
1172620,Sea of Thieves,4520,2025-09-17 20:52:18.738085+00,3,Wednesday,20,2025-09-17 00:00:00+00
570,Dota 2,613207,2025-09-17 20:52:18.750125+00,3,Wednesday,20,2025-09-17 00:00:00+00
271590,GTA V,55624,2025-09-17 20:52:18.750975+00,3,Wednesday,20,2025-09-17 00:00:00+00
440,Team Fortress 2,36442,2025-09-17 20:52:18.752827+00,3,Wednesday,20,2025-09-17 00:00:00+00
1172620,Sea of Thieves,4520,2025-09-17 20:57:18.777632+00,3,Wednesday,20,2025-09-17 00:00:00+00
440,Team Fortress 2,36442,2025-09-17 20:57:18.793005+00,3,Wednesday,20,2025-09-17 00:00:00+00
570,Dota 2,613207,2025-09-17 20:57:18.804871+00,3,Wednesday,20,2025-09-17 00:00:00+00
730,Counter-Strike 2,991869,2025-09-17 20:57:18.805625+00,3,Wednesday,20,2025-09-17 00:00:00+00
271590,GTA V,52888,2025-09-17 20:57:19.116096+00,3,Wednesday,20,2025-09-17 00:00:00+00
570,Dota 2,613207,2025-09-17 21:02:18.878774+00,3,Wednesday,21,2025-09-17 00:00:00+00
271590,GTA V,52888,2025-09-17 21:02:18.880066+00,3,Wednesday,21,2025-09-17 00:00:00+00
440,Team Fortress 2,36946,2025-09-17 21:02:18.883384+00,3,Wednesday,21,2025-09-17 00:00:00+00
730,Counter-Strike 2,991869,2025-09-17 21:02:18.885688+00,3,Wednesday,21,2025-09-17 00:00:00+00
1172620,Sea of Thieves,4319,2025-09-17 21:02:18.933176+00,3,Wednesday,21,2025-09-17 00:00:00+00
730,Counter-Strike 2,945345,2025-09-17 21:07:18.871082+00,3,Wednesday,21,2025-09-17 00:00:00+00
271590,GTA V,52888,2025-09-17 21:07:18.874775+00,3,Wednesday,21,2025-09-17 00:00:00+00
570,Dota 2,596738,2025-09-17 21:07:18.877422+00,3,Wednesday,21,2025-09-17 00:00:00+00
1172620,Sea of Thieves,4319,2025-09-17 21:07:18.918861+00,3,Wednesday,21,2025-09-17 00:00:00+00
440,Team Fortress 2,36946,2025-09-17 21:07:18.923349+00,3,Wednesday,21,2025-09-17 00:00:00+00
570,Dota 2,596738,2025-09-17 21:12:18.903752+00,3,Wednesday,21,2025-09-17 00:00:00+00
730,Counter-Strike 2,945345,2025-09-17 21:12:18.905764+00,3,Wednesday,21,2025-09-17 00:00:00+00
1172620,Sea of Thieves,4319,2025-09-17 21:12:18.921979+00,3,Wednesday,21,2025-09-17 00:00:00+00
440,Team Fortress 2,33728,2025-09-17 21:12:18.939803+00,3,Wednesday,21,2025-09-17 00:00:00+00
271590,GTA V,51193,2025-09-17 21:12:19.047397+00,3,Wednesday,21,2025-09-17 00:00:00+00
440,Team Fortress 2,33728,2025-09-17 21:17:18.935773+00,3,Wednesday,21,2025-09-17 00:00:00+00
271590,GTA V,51193,2025-09-17 21:17:18.939151+00,3,Wednesday,21,2025-09-17 00:00:00+00
570,Dota 2,580032,2025-09-17 21:17:18.944081+00,3,Wednesday,21,2025-09-17 00:00:00+00
730,Counter-Strike 2,919590,2025-09-17 21:17:18.966372+00,3,Wednesday,21,2025-09-17 00:00:00+00
1172620,Sea of Thieves,4015,2025-09-17 21:17:19.006279+00,3,Wednesday,21,2025-09-17 00:00:00+00
271590,GTA V,51193,2025-09-17 21:22:18.902563+00,3,Wednesday,21,2025-09-17 00:00:00+00
730,Counter-Strike 2,919590,2025-09-17 21:22:18.90488+00,3,Wednesday,21,2025-09-17 00:00:00+00
1172620,Sea of Thieves,4015,2025-09-17 21:22:18.906816+00,3,Wednesday,21,2025-09-17 00:00:00+00
570,Dota 2,580032,2025-09-17 21:22:18.909963+00,3,Wednesday,21,2025-09-17 00:00:00+00
440,Team Fortress 2,33728,2025-09-17 21:22:18.951167+00,3,Wednesday,21,2025-09-17 00:00:00+00
570,Dota 2,580032,2025-09-17 21:27:18.938183+00,3,Wednesday,21,2025-09-17 00:00:00+00
1172620,Sea of Thieves,4015,2025-09-17 21:27:18.940752+00,3,Wednesday,21,2025-09-17 00:00:00+00
730,Counter-Strike 2,919590,2025-09-17 21:27:18.945647+00,3,Wednesday,21,2025-09-17 00:00:00+00
271590,GTA V,48667,2025-09-17 21:27:18.959327+00,3,Wednesday,21,2025-09-17 00:00:00+00
440,Team Fortress 2,36527,2025-09-17 21:27:19.045879+00,3,Wednesday,21,2025-09-17 00:00:00+00
730,Counter-Strike 2,896691,2025-09-17 21:32:18.91853+00,3,Wednesday,21,2025-09-17 00:00:00+00
271590,GTA V,48667,2025-09-17 21:32:18.947296+00,3,Wednesday,21,2025-09-17 00:00:00+00
570,Dota 2,559684,2025-09-17 21:32:18.947991+00,3,Wednesday,21,2025-09-17 00:00:00+00
440,Team Fortress 2,36527,2025-09-17 21:32:18.962129+00,3,Wednesday,21,2025-09-17 00:00:00+00
1172620,Sea of Thieves,3884,2025-09-17 21:32:19.050364+00,3,Wednesday,21,2025-09-17 00:00:00+00
